Transaction Amount ($) ,Fraud Detected ,Fraud Type       ,Device Risk Score ,Login Frequency (Per Day) ,Multiple Login Attempts ,Unusual IP Address ,Previous Fraud History ,Compromised Credentials Used ,Malicious Link Clicked ,Blacklisted Entity Involved ,Transaction Location Risk ,Dark Web Involvement ,Transaction Time ,Unusual Location Detected ,Account Age (Days) ,Account Type ,Social Engineering Involvement ,Previous Suspicious Activity ,Data Breach Exposure
                  8830 ,Yes            ,Phishing         ,               87 ,                       30 ,Yes                     ,No                 ,No                     ,Yes                          ,Yes                    ,Yes                         ,                     0.61 ,No                   ,Day              ,No                        ,               184 ,Premium      ,No                             ,Yes                          ,No
                  7696 ,Yes            ,E-commerce Fraud ,               95 ,                       46 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.51 ,No                   ,Day              ,Yes                       ,              2165 ,Regular      ,No                             ,No                           ,No
                  4242 ,Yes            ,Phishing         ,               77 ,                       30 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.79 ,No                   ,Night            ,No                        ,              3145 ,Business     ,No                             ,Yes                          ,No
                  8017 ,Yes            ,Identity Theft   ,               76 ,                        7 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.47 ,No                   ,Night            ,No                        ,              3219 ,Regular      ,No                             ,No                           ,No
                  1531 ,No             ,Phishing         ,               99 ,                       10 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.33 ,Yes                  ,Day              ,Yes                       ,               124 ,Business     ,No                             ,Yes                          ,No
                  9028 ,Yes            ,Identity Theft   ,               18 ,                       35 ,No                      ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.72 ,No                   ,Day              ,No                        ,              1718 ,Business     ,No                             ,No                           ,No
                  1510 ,No             ,Ransomware       ,               21 ,                        2 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.94 ,No                   ,Day              ,No                        ,              1636 ,Premium      ,Yes                            ,No                           ,No
                  6747 ,Yes            ,Phishing         ,                1 ,                       30 ,No                      ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.6  ,No                   ,Day              ,No                        ,               992 ,Premium      ,No                             ,No                           ,No
                  3304 ,No             ,Phishing         ,               38 ,                       19 ,No                      ,No                 ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.28 ,No                   ,Day              ,No                        ,              1467 ,Premium      ,No                             ,No                           ,No
                  5095 ,No             ,Honeypot Attack  ,               41 ,                       39 ,Yes                     ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.76 ,No                   ,Night            ,No                        ,               830 ,Business     ,Yes                            ,Yes                          ,No
                  2429 ,Yes            ,Ransomware       ,               42 ,                       37 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.76 ,No                   ,Day              ,Yes                       ,              2226 ,Premium      ,No                             ,Yes                          ,No
                  9136 ,No             ,Honeypot Attack  ,                9 ,                        3 ,No                      ,No                 ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.27 ,No                   ,Night            ,Yes                       ,               678 ,Business     ,No                             ,No                           ,No
                  3052 ,No             ,Identity Theft   ,               23 ,                       25 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.38 ,No                   ,Day              ,No                        ,              1034 ,Premium      ,No                             ,No                           ,Yes
                  4507 ,No             ,Identity Theft   ,               78 ,                       34 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.14 ,No                   ,Day              ,No                        ,              1187 ,Premium      ,No                             ,No                           ,No
                  1476 ,No             ,Ransomware       ,               11 ,                       22 ,No                      ,No                 ,No                     ,Yes                          ,Yes                    ,No                          ,                     0.08 ,No                   ,Day              ,No                        ,              3630 ,Business     ,Yes                            ,No                           ,No
                  3571 ,No             ,Identity Theft   ,               71 ,                       38 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.81 ,No                   ,Night            ,No                        ,               792 ,Premium      ,No                             ,No                           ,No
                   624 ,No             ,Ransomware       ,               31 ,                       14 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.37 ,No                   ,Day              ,No                        ,               610 ,Regular      ,Yes                            ,No                           ,No
                  5402 ,No             ,Identity Theft   ,               88 ,                       39 ,Yes                     ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.28 ,No                   ,Day              ,Yes                       ,              2675 ,Regular      ,No                             ,No                           ,No
                  7703 ,Yes            ,E-commerce Fraud ,               26 ,                        2 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.26 ,No                   ,Day              ,Yes                       ,              1353 ,Regular      ,Yes                            ,No                           ,No
                  9384 ,No             ,Phishing         ,               30 ,                       32 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.07 ,No                   ,Night            ,Yes                       ,              3035 ,Regular      ,No                             ,No                           ,No
                  3233 ,No             ,E-commerce Fraud ,               34 ,                       43 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.98 ,No                   ,Day              ,Yes                       ,              1378 ,Business     ,Yes                            ,No                           ,Yes
                  7148 ,No             ,Ransomware       ,               46 ,                        3 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.37 ,No                   ,Day              ,No                        ,               719 ,Premium      ,No                             ,No                           ,No
                  2677 ,Yes            ,Ransomware       ,               69 ,                       41 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.16 ,No                   ,Day              ,No                        ,                91 ,Regular      ,No                             ,No                           ,No
                  7990 ,No             ,E-commerce Fraud ,                5 ,                        8 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.86 ,No                   ,Day              ,No                        ,              2395 ,Business     ,No                             ,Yes                          ,No
                   140 ,No             ,Phishing         ,               61 ,                       26 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.72 ,No                   ,Day              ,No                        ,              2687 ,Business     ,Yes                            ,No                           ,Yes
                  2993 ,Yes            ,Phishing         ,               83 ,                       32 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.66 ,No                   ,Day              ,No                        ,              2464 ,Premium      ,No                             ,No                           ,No
                  4288 ,No             ,Honeypot Attack  ,               38 ,                       11 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.3  ,No                   ,Day              ,No                        ,               237 ,Regular      ,Yes                            ,Yes                          ,No
                  7136 ,No             ,Identity Theft   ,               28 ,                        1 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.42 ,No                   ,Day              ,No                        ,              3611 ,Regular      ,No                             ,No                           ,No
                  8240 ,No             ,Honeypot Attack  ,               26 ,                       15 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.84 ,Yes                  ,Day              ,No                        ,              2074 ,Business     ,Yes                            ,No                           ,Yes
                  7704 ,No             ,Phishing         ,               61 ,                        4 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.64 ,No                   ,Day              ,Yes                       ,              3244 ,Business     ,No                             ,No                           ,No
                  6650 ,No             ,E-commerce Fraud ,               23 ,                        4 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.35 ,No                   ,Day              ,Yes                       ,              1936 ,Regular      ,No                             ,Yes                          ,No
                  5478 ,No             ,Identity Theft   ,               46 ,                       28 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.11 ,No                   ,Night            ,No                        ,               483 ,Premium      ,No                             ,Yes                          ,No
                   930 ,No             ,E-commerce Fraud ,               30 ,                       10 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.9  ,No                   ,Day              ,No                        ,              1690 ,Business     ,No                             ,No                           ,No
                  7574 ,Yes            ,Honeypot Attack  ,               67 ,                       11 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.96 ,No                   ,Night            ,No                        ,              1894 ,Business     ,No                             ,Yes                          ,No
                  8694 ,Yes            ,Ransomware       ,               92 ,                       23 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.72 ,No                   ,Night            ,No                        ,              1336 ,Premium      ,Yes                            ,Yes                          ,No
                  9333 ,No             ,E-commerce Fraud ,               33 ,                       47 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.69 ,No                   ,Night            ,No                        ,              2270 ,Premium      ,No                             ,No                           ,No
                  8512 ,Yes            ,Honeypot Attack  ,                3 ,                        3 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.54 ,Yes                  ,Night            ,No                        ,              1514 ,Business     ,Yes                            ,No                           ,No
                  8940 ,Yes            ,Honeypot Attack  ,               69 ,                       39 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.97 ,No                   ,Day              ,No                        ,              3493 ,Business     ,No                             ,No                           ,No
                  3251 ,No             ,Honeypot Attack  ,               83 ,                       39 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.69 ,No                   ,Night            ,Yes                       ,              3292 ,Regular      ,No                             ,No                           ,No
                   555 ,Yes            ,Ransomware       ,               42 ,                       17 ,No                      ,No                 ,Yes                    ,Yes                          ,No                     ,No                          ,                     0.08 ,No                   ,Day              ,No                        ,              1256 ,Business     ,Yes                            ,No                           ,Yes
                  4356 ,No             ,Ransomware       ,               62 ,                       22 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.09 ,No                   ,Night            ,No                        ,               656 ,Business     ,No                             ,No                           ,No
                  3820 ,Yes            ,Ransomware       ,               58 ,                       27 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.96 ,No                   ,Day              ,No                        ,              3330 ,Business     ,No                             ,Yes                          ,No
                  7216 ,No             ,Identity Theft   ,               57 ,                       16 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.94 ,No                   ,Night            ,No                        ,               980 ,Regular      ,Yes                            ,No                           ,No
                  9015 ,No             ,Ransomware       ,                1 ,                       16 ,No                      ,No                 ,No                     ,Yes                          ,Yes                    ,No                          ,                     0.56 ,No                   ,Day              ,No                        ,              2974 ,Premium      ,No                             ,No                           ,Yes
                  2042 ,Yes            ,Ransomware       ,               73 ,                       40 ,Yes                     ,No                 ,Yes                    ,Yes                          ,No                     ,Yes                         ,                     0.21 ,No                   ,Day              ,Yes                       ,              2377 ,Premium      ,No                             ,No                           ,No
                  8446 ,No             ,Ransomware       ,               60 ,                        3 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.58 ,No                   ,Day              ,No                        ,              1463 ,Premium      ,No                             ,No                           ,No
                   281 ,Yes            ,E-commerce Fraud ,               69 ,                       47 ,No                      ,Yes                ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.76 ,No                   ,Day              ,No                        ,              3263 ,Business     ,Yes                            ,No                           ,No
                  3521 ,No             ,Ransomware       ,               59 ,                       33 ,No                      ,Yes                ,No                     ,Yes                          ,No                     ,No                          ,                     0.01 ,No                   ,Night            ,Yes                       ,              1907 ,Business     ,No                             ,No                           ,Yes
                  1781 ,No             ,Identity Theft   ,               46 ,                       42 ,Yes                     ,No                 ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.82 ,No                   ,Day              ,No                        ,              1344 ,Premium      ,No                             ,No                           ,No
                  9464 ,No             ,Honeypot Attack  ,               34 ,                        2 ,No                      ,Yes                ,Yes                    ,No                           ,No                     ,No                          ,                     0.46 ,No                   ,Night            ,Yes                       ,              3137 ,Regular      ,No                             ,No                           ,No
                  4371 ,No             ,E-commerce Fraud ,               97 ,                       39 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.46 ,No                   ,Night            ,Yes                       ,               667 ,Business     ,No                             ,No                           ,No
                  7079 ,No             ,Phishing         ,               25 ,                       46 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.43 ,No                   ,Day              ,Yes                       ,              2294 ,Regular      ,No                             ,No                           ,No
                   930 ,No             ,Ransomware       ,               42 ,                       48 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.69 ,Yes                  ,Day              ,No                        ,              3209 ,Regular      ,No                             ,No                           ,No
                  8200 ,No             ,Honeypot Attack  ,               29 ,                       27 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.21 ,No                   ,Night            ,No                        ,              3028 ,Business     ,No                             ,Yes                          ,No
                  3440 ,Yes            ,Honeypot Attack  ,               25 ,                       15 ,Yes                     ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.61 ,No                   ,Night            ,No                        ,               167 ,Premium      ,No                             ,No                           ,No
                  4445 ,No             ,E-commerce Fraud ,               54 ,                        7 ,Yes                     ,Yes                ,Yes                    ,No                           ,No                     ,No                          ,                     0.04 ,No                   ,Day              ,No                        ,               163 ,Regular      ,No                             ,No                           ,No
                  3770 ,Yes            ,Phishing         ,               73 ,                       45 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.81 ,No                   ,Night            ,No                        ,              2721 ,Premium      ,No                             ,No                           ,No
                  2060 ,No             ,Identity Theft   ,               67 ,                       42 ,Yes                     ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.82 ,No                   ,Night            ,No                        ,              3469 ,Business     ,No                             ,No                           ,No
                  1175 ,Yes            ,Honeypot Attack  ,               15 ,                        9 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.31 ,No                   ,Day              ,No                        ,               846 ,Regular      ,No                             ,No                           ,No
                  8577 ,No             ,Honeypot Attack  ,                4 ,                       41 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.11 ,Yes                  ,Day              ,No                        ,              3509 ,Business     ,No                             ,No                           ,No
                  2043 ,Yes            ,Honeypot Attack  ,               38 ,                        6 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.75 ,No                   ,Night            ,Yes                       ,              1025 ,Business     ,No                             ,No                           ,No
                  6477 ,Yes            ,Honeypot Attack  ,               20 ,                       12 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.47 ,No                   ,Day              ,No                        ,              2226 ,Regular      ,No                             ,No                           ,No
                   155 ,No             ,E-commerce Fraud ,               23 ,                       30 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.92 ,No                   ,Day              ,No                        ,              3553 ,Regular      ,No                             ,Yes                          ,No
                  4398 ,No             ,Phishing         ,               37 ,                       20 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.35 ,No                   ,Day              ,No                        ,              3062 ,Premium      ,No                             ,No                           ,No
                  7842 ,No             ,Honeypot Attack  ,               62 ,                       20 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.84 ,No                   ,Night            ,No                        ,               871 ,Regular      ,No                             ,No                           ,Yes
                  8633 ,Yes            ,Identity Theft   ,                8 ,                       46 ,No                      ,Yes                ,Yes                    ,No                           ,No                     ,No                          ,                     0.03 ,No                   ,Night            ,No                        ,              2292 ,Business     ,No                             ,No                           ,No
                  8906 ,Yes            ,Identity Theft   ,               37 ,                       27 ,Yes                     ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.77 ,No                   ,Day              ,Yes                       ,               692 ,Premium      ,No                             ,No                           ,No
                  8183 ,No             ,Ransomware       ,               45 ,                       20 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,Yes                         ,                     0.68 ,No                   ,Night            ,Yes                       ,              3310 ,Business     ,No                             ,No                           ,Yes
                  2642 ,No             ,Honeypot Attack  ,               97 ,                        7 ,Yes                     ,No                 ,Yes                    ,Yes                          ,No                     ,No                          ,                     0.53 ,No                   ,Night            ,Yes                       ,              3189 ,Premium      ,No                             ,No                           ,No
                  4504 ,Yes            ,Honeypot Attack  ,               33 ,                       40 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.91 ,No                   ,Night            ,Yes                       ,              1372 ,Business     ,No                             ,Yes                          ,No
                  8066 ,No             ,Honeypot Attack  ,                7 ,                       40 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.94 ,No                   ,Night            ,Yes                       ,                 7 ,Premium      ,No                             ,Yes                          ,No
                  7521 ,No             ,Honeypot Attack  ,               22 ,                       30 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.93 ,No                   ,Day              ,No                        ,              1198 ,Regular      ,No                             ,No                           ,No
                  9165 ,No             ,Honeypot Attack  ,                5 ,                        8 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.6  ,No                   ,Night            ,Yes                       ,              1140 ,Business     ,No                             ,Yes                          ,No
                  1838 ,No             ,Identity Theft   ,               15 ,                        2 ,No                      ,No                 ,Yes                    ,No                           ,Yes                    ,Yes                         ,                     0.52 ,No                   ,Night            ,Yes                       ,              2303 ,Business     ,No                             ,No                           ,Yes
                  9140 ,No             ,Phishing         ,               21 ,                       14 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.27 ,No                   ,Night            ,No                        ,               472 ,Premium      ,Yes                            ,No                           ,No
                  4815 ,Yes            ,Phishing         ,               89 ,                       10 ,Yes                     ,Yes                ,No                     ,Yes                          ,No                     ,No                          ,                     0.16 ,No                   ,Day              ,No                        ,              1615 ,Regular      ,No                             ,No                           ,No
                   816 ,Yes            ,Ransomware       ,               17 ,                       18 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.56 ,Yes                  ,Day              ,No                        ,               536 ,Regular      ,Yes                            ,No                           ,No
                  9665 ,No             ,Identity Theft   ,               56 ,                       18 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.15 ,No                   ,Day              ,Yes                       ,              2651 ,Premium      ,No                             ,No                           ,No
                  7496 ,No             ,Honeypot Attack  ,               50 ,                       16 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.17 ,No                   ,Night            ,No                        ,              2599 ,Regular      ,No                             ,No                           ,No
                  8212 ,No             ,Phishing         ,                7 ,                        5 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.36 ,No                   ,Night            ,No                        ,               958 ,Regular      ,Yes                            ,No                           ,No
                  1878 ,No             ,E-commerce Fraud ,               50 ,                       31 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.19 ,No                   ,Day              ,No                        ,              2243 ,Premium      ,No                             ,No                           ,Yes
                  7888 ,No             ,E-commerce Fraud ,               60 ,                       37 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.5  ,Yes                  ,Day              ,Yes                       ,               204 ,Business     ,No                             ,No                           ,No
                  5700 ,No             ,E-commerce Fraud ,               83 ,                       20 ,No                      ,Yes                ,No                     ,No                           ,Yes                    ,Yes                         ,                     0.66 ,No                   ,Night            ,No                        ,              1193 ,Premium      ,No                             ,No                           ,Yes
                  7837 ,Yes            ,Honeypot Attack  ,                7 ,                       23 ,Yes                     ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.7  ,No                   ,Night            ,No                        ,              2205 ,Premium      ,No                             ,No                           ,No
                  5439 ,Yes            ,Honeypot Attack  ,               40 ,                       32 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.53 ,No                   ,Day              ,No                        ,              1736 ,Premium      ,No                             ,No                           ,No
                  9086 ,No             ,Ransomware       ,               45 ,                       42 ,No                      ,Yes                ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.52 ,No                   ,Night            ,No                        ,              3018 ,Regular      ,No                             ,No                           ,No
                  3574 ,No             ,Ransomware       ,               59 ,                       17 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.47 ,No                   ,Day              ,No                        ,              2833 ,Business     ,No                             ,No                           ,No
                  1399 ,Yes            ,Ransomware       ,               88 ,                       13 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.25 ,No                   ,Night            ,No                        ,               905 ,Regular      ,No                             ,No                           ,No
                  7284 ,No             ,E-commerce Fraud ,               75 ,                       49 ,No                      ,Yes                ,No                     ,Yes                          ,No                     ,No                          ,                     0.65 ,No                   ,Day              ,Yes                       ,               490 ,Regular      ,No                             ,No                           ,Yes
                   834 ,No             ,Honeypot Attack  ,               55 ,                       13 ,Yes                     ,No                 ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.66 ,No                   ,Day              ,No                        ,              2554 ,Regular      ,No                             ,No                           ,No
                  2275 ,No             ,E-commerce Fraud ,               64 ,                       17 ,No                      ,No                 ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.26 ,No                   ,Night            ,Yes                       ,                 4 ,Business     ,No                             ,Yes                          ,No
                   946 ,Yes            ,Ransomware       ,               65 ,                       15 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.7  ,No                   ,Day              ,No                        ,              2709 ,Premium      ,Yes                            ,No                           ,No
                  6412 ,No             ,Honeypot Attack  ,               54 ,                       26 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.86 ,No                   ,Day              ,Yes                       ,               904 ,Premium      ,No                             ,Yes                          ,No
                  3855 ,Yes            ,Identity Theft   ,               96 ,                       44 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.59 ,No                   ,Day              ,Yes                       ,               558 ,Business     ,No                             ,No                           ,Yes
                  1806 ,No             ,Phishing         ,               40 ,                       28 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.12 ,No                   ,Day              ,No                        ,              2772 ,Premium      ,No                             ,No                           ,No
                  8255 ,Yes            ,Phishing         ,               53 ,                       42 ,Yes                     ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.33 ,No                   ,Night            ,No                        ,              1671 ,Business     ,Yes                            ,No                           ,No
                  7224 ,No             ,Ransomware       ,               44 ,                       45 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.09 ,No                   ,Night            ,No                        ,              1134 ,Regular      ,Yes                            ,No                           ,No
                   736 ,Yes            ,E-commerce Fraud ,               63 ,                       30 ,No                      ,Yes                ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.3  ,No                   ,Day              ,Yes                       ,              1222 ,Premium      ,Yes                            ,Yes                          ,No
                  2746 ,No             ,Identity Theft   ,                2 ,                       43 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.21 ,No                   ,Day              ,Yes                       ,               393 ,Business     ,No                             ,Yes                          ,No
                  1923 ,No             ,Honeypot Attack  ,               79 ,                       35 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.55 ,No                   ,Day              ,Yes                       ,              3022 ,Business     ,Yes                            ,No                           ,No
                  9798 ,Yes            ,E-commerce Fraud ,               21 ,                       22 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.42 ,No                   ,Night            ,No                        ,              2480 ,Business     ,No                             ,No                           ,No
